"행정구역","2020년01월_총인구수","2020년01월_세대수","2020년01월_세대당 인구","2020년01월_남자 인구수","2020년01월_여자 인구수","2020년01월_남여 비율","2020년02월_총인구수","2020년02월_세대수","2020년02월_세대당 인구","2020년02월_남자 인구수","2020년02월_여자 인구수","2020년02월_남여 비율","2020년03월_총인구수","2020년03월_세대수","2020년03월_세대당 인구","2020년03월_남자 인구수","2020년03월_여자 인구수","2020년03월_남여 비율","2020년04월_총인구수","2020년04월_세대수","2020년04월_세대당 인구","2020년04월_남자 인구수","2020년04월_여자 인구수","2020년04월_남여 비율","2020년05월_총인구수","2020년05월_세대수","2020년05월_세대당 인구","2020년05월_남자 인구수","2020년05월_여자 인구수","2020년05월_남여 비율","2020년06월_총인구수","2020년06월_세대수","2020년06월_세대당 인구","2020년06월_남자 인구수","2020년06월_여자 인구수","2020년06월_남여 비율","2020년07월_총인구수","2020년07월_세대수","2020년07월_세대당 인구","2020년07월_남자 인구수","2020년07월_여자 인구수","2020년07월_남여 비율","2020년08월_총인구수","2020년08월_세대수","2020년08월_세대당 인구","2020년08월_남자 인구수","2020년08월_여자 인구수","2020년08월_남여 비율","2020년09월_총인구수","2020년09월_세대수","2020년09월_세대당 인구","2020년09월_남자 인구수","2020년09월_여자 인구수","2020년09월_남여 비율","2020년10월_총인구수","2020년10월_세대수","2020년10월_세대당 인구","2020년10월_남자 인구수","2020년10월_여자 인구수","2020년10월_남여 비율","2020년11월_총인구수","2020년11월_세대수","2020년11월_세대당 인구","2020년11월_남자 인구수","2020년11월_여자 인구수","2020년11월_남여 비율","2020년12월_총인구수","2020년12월_세대수","2020년12월_세대당 인구","2020년12월_남자 인구수","2020년12월_여자 인구수","2020년12월_남여 비율"
"울산광역시  (3100000000)","1,147,037","469,007","          2.45","589,233","557,804","          1.06","1,145,710","469,551","          2.44","588,626","557,084","          1.06","1,144,563","470,294","          2.43","588,127","556,436","          1.06","1,144,098","471,153","          2.43","587,902","556,196","          1.06","1,143,148","472,255","          2.42","587,434","555,714","          1.06","1,142,190","472,983","          2.41","586,939","555,251","          1.06","1,141,362","473,640","          2.41","586,533","554,829","          1.06","1,140,310","474,328","          2.40","585,922","554,388","          1.06","1,139,368","474,970","          2.40","585,387","553,981","          1.06","1,138,581","475,424","          2.39","584,963","553,618","          1.06","1,137,345","476,112","          2.39","584,305","553,040","          1.06","1,136,017","476,893","          2.38","583,708","552,309","          1.06"
"울산광역시 중구 (3111000000)","223,060","92,994","          2.40","113,235","109,825","          1.03","222,395","92,927","          2.39","112,874","109,521","          1.03","221,702","92,908","          2.39","112,512","109,190","          1.03","221,125","92,901","          2.38","112,157","108,968","          1.03","220,604","92,995","          2.37","111,885","108,719","          1.03","220,028","92,996","          2.37","111,559","108,469","          1.03","219,635","93,054","          2.36","111,380","108,255","          1.03","219,249","93,093","          2.36","111,137","108,112","          1.03","218,862","93,138","          2.35","110,913","107,949","          1.03","218,571","93,207","          2.35","110,780","107,791","          1.03","218,096","93,192","          2.34","110,500","107,596","          1.03","217,595","93,212","          2.33","110,201","107,394","          1.03"
"울산광역시 남구 (3114000000)","323,704","135,477","          2.39","164,993","158,711","          1.04","323,756","135,738","          2.39","165,069","158,687","          1.04","323,320","135,984","          2.38","164,896","158,424","          1.04","323,230","136,328","          2.37","164,885","158,345","          1.04","323,192","136,747","          2.36","164,865","158,327","          1.04","322,883","137,004","          2.36","164,689","158,194","          1.04","322,486","137,182","          2.35","164,493","157,993","          1.04","321,955","137,316","          2.34","164,160","157,795","          1.04","321,494","137,426","          2.34","163,939","157,555","          1.04","321,134","137,453","          2.34","163,727","157,407","          1.04","320,716","137,772","          2.33","163,513","157,203","          1.04","320,064","137,925","          2.32","163,198","156,866","          1.04"
"울산광역시 동구 (3117000000)","159,294","65,167","          2.44","83,217","76,077","          1.09","158,809","65,189","          2.44","83,004","75,805","          1.09","158,477","65,196","          2.43","82,841","75,636","          1.10","158,323","65,234","          2.43","82,795","75,528","          1.10","158,154","65,420","          2.42","82,706","75,448","          1.10","157,973","65,496","          2.41","82,633","75,340","          1.10","157,757","65,478","          2.41","82,507","75,250","          1.10","157,589","65,581","          2.40","82,449","75,140","          1.10","157,396","65,671","          2.40","82,303","75,093","          1.10","157,319","65,700","          2.39","82,261","75,058","          1.10","157,111","65,781","          2.39","82,126","74,985","          1.10","156,806","65,815","          2.38","81,999","74,807","          1.10"
"울산광역시 북구 (3120000000)","218,053","81,382","          2.68","112,773","105,280","          1.07","218,190","81,608","          2.67","112,835","105,355","          1.07","218,353","81,833","          2.67","112,967","105,386","          1.07","218,364","82,011","          2.66","112,960","105,404","          1.07","218,396","82,250","          2.66","113,001","105,395","          1.07","218,673","82,511","          2.65","113,189","105,484","          1.07","218,777","82,725","          2.64","113,253","105,524","          1.07","218,765","82,917","          2.64","113,233","105,532","          1.07","218,903","83,130","          2.63","113,315","105,588","          1.07","218,949","83,335","          2.63","113,337","105,612","          1.07","218,882","83,464","          2.62","113,325","105,557","          1.07","219,014","83,781","          2.61","113,392","105,622","          1.07"
"울산광역시 울주군 (3171000000)","222,926","93,987","          2.37","115,015","107,911","          1.07","222,560","94,089","          2.37","114,844","107,716","          1.07","222,711","94,373","          2.36","114,911","107,800","          1.07","223,056","94,679","          2.36","115,105","107,951","          1.07","222,802","94,843","          2.35","114,977","107,825","          1.07","222,633","94,976","          2.34","114,869","107,764","          1.07","222,707","95,201","          2.34","114,900","107,807","          1.07","222,752","95,421","          2.33","114,943","107,809","          1.07","222,713","95,605","          2.33","114,917","107,796","          1.07","222,608","95,729","          2.33","114,858","107,750","          1.07","222,540","95,903","          2.32","114,841","107,699","          1.07","222,538","96,160","          2.31","114,918","107,620","          1.07"
